Order_ID,Order_Date,Day_of_Week,Month,Customer_ID,Menu_Item,Category,Quantity_Sold,Unit_Price,Total_Sales,Inventory_Stock,Inventory_Used,Food_Waste,Customer_Rating,Review,Sentiment,Payment_Method,Branch
31,2025-03-22,Saturday,3,1306,Sandwich,Fast Food,5,220,1100,10,5,5,2,Acceptable,Neutral,Card,Mirpur
32,2025-03-01,Saturday,3,1734,Pizza,Fast Food,3,550,1650,16,3,13,4,Very tasty and fresh,Positive,Card,Mirpur
33,2025-09-16,Tuesday,9,1849,Sandwich,Fast Food,5,220,1100,11,5,6,4,Highly recommended,Positive,Cash,Dhanmondi
34,2025-06-20,Friday,6,1722,Biryani,Main Course,5,320,1600,15,5,10,5,Acceptable,Neutral,Cash,Dhanmondi
35,2025-02-08,Saturday,2,1440,Biryani,Main Course,1,320,320,17,1,16,3,Very tasty and fresh,Positive,Cash,Mirpur
36,2025-07-06,Sunday,7,1362,Burger,Fast Food,6,250,1500,17,6,11,5,Average taste,Neutral,Card,Uttara
37,2025-03-25,Tuesday,3,1801,Biryani,Main Course,7,320,2240,12,7,5,5,Loved the food,Positive,Card,Mirpur
38,2025-03-23,Sunday,3,1204,Pizza,Fast Food,7,550,3850,13,7,6,5,Delivery was late,Negative,Bkash,Mirpur
39,2025-04-27,Sunday,4,1885,Fried Rice,Main Course,1,280,280,12,1,11,2,Loved the food,Positive,Bkash,Mirpur
40,2025-11-25,Tuesday,11,1898,Noodles,Main Course,7,260,1820,22,7,15,4,Food was cold,Negative,Card,Mirpur
41,2025-01-20,Monday,1,1446,Pizza,Fast Food,7,550,3850,23,7,16,2,Service was normal,Neutral,Nagad,Uttara
42,2025-05-11,Sunday,5,1703,Burger,Fast Food,7,250,1750,12,7,5,3,Amazing quality,Positive,Bkash,Banani
43,2025-02-05,Wednesday,2,1519,Coffee,Beverage,6,180,1080,14,6,8,4,Service was normal,Neutral,Nagad,Mirpur
44,2025-07-26,Saturday,7,1693,Pasta,Main Course,3,350,1050,14,3,11,3,Highly recommended,Positive,Bkash,Banani
45,2025-10-08,Wednesday,10,1621,Burger,Fast Food,5,250,1250,19,5,14,4,Amazing quality,Positive,Nagad,Banani
46,2025-08-15,Friday,8,1527,Fried Rice,Main Course,8,280,2240,18,8,10,4,Service was normal,Neutral,Cash,Uttara
47,2025-12-11,Thursday,12,1250,Pasta,Main Course,4,350,1400,15,4,11,5,Excellent food and fast service,Positive,Cash,Banani
48,2025-08-01,Friday,8,1151,Ice Cream,Dessert,4,120,480,21,4,17,2,Very tasty and fresh,Positive,Cash,Banani
49,2025-04-23,Wednesday,4,1467,Biryani,Main Course,8,320,2560,14,8,6,3,Excellent food and fast service,Positive,Nagad,Mirpur
50,2025-08-15,Friday,8,1460,Ice Cream,Dessert,7,120,840,26,7,19,4,Not worth the price,Negative,Card,Mirpur
51,2025-09-24,Wednesday,9,1240,Sandwich,Fast Food,4,220,880,17,4,13,4,Loved the food,Positive,Bkash,Mirpur
52,2025-10-04,Saturday,10,1723,Pizza,Fast Food,3,550,1650,12,3,9,3,Very tasty and fresh,Positive,Cash,Banani
53,2025-07-28,Monday,7,1398,Coffee,Beverage,8,180,1440,26,8,18,2,Highly recommended,Positive,Nagad,Banani
54,2025-01-04,Saturday,1,1551,Coffee,Beverage,5,180,900,22,5,17,3,Not worth the price,Negative,Nagad,Uttara
55,2025-05-20,Tuesday,5,1741,Juice,Beverage,8,150,1200,13,8,5,3,Highly recommended,Positive,Nagad,Uttara
56,2025-11-15,Saturday,11,1085,Noodles,Main Course,1,260,260,18,1,17,5,Excellent food and fast service,Positive,Card,Banani
57,2025-04-04,Friday,4,1334,Burger,Fast Food,5,250,1250,22,5,17,4,Highly recommended,Positive,Nagad,Mirpur
58,2025-08-04,Monday,8,1053,Pasta,Main Course,2,350,700,22,2,20,4,Amazing quality,Positive,Card,Dhanmondi
59,2025-11-30,Sunday,11,1636,Burger,Fast Food,1,250,250,13,1,12,3,Excellent food and fast service,Positive,Card,Uttara
60,2025-08-31,Sunday,8,1171,Pizza,Fast Food,4,550,2200,23,4,19,2,Service was normal,Neutral,Card,Mirpur
61,2025-02-25,Tuesday,2,1406,Ice Cream,Dessert,1,120,120,15,1,14,3,Highly recommended,Positive,Cash,Uttara
62,2025-02-22,Saturday,2,1677,Pasta,Main Course,2,350,700,8,2,6,4,Highly recommended,Positive,Cash,Mirpur
63,2025-01-07,Tuesday,1,1650,Juice,Beverage,8,150,1200,16,8,8,5,Loved the food,Positive,Card,Banani
64,2025-04-01,Tuesday,4,1274,Noodles,Main Course,5,260,1300,25,5,20,4,Amazing quality,Positive,Card,Dhanmondi
65,2025-05-23,Friday,5,1344,Sandwich,Fast Food,4,220,880,23,4,19,2,Highly recommended,Positive,Nagad,Mirpur
66,2025-04-04,Friday,4,1286,Sandwich,Fast Food,4,220,880,20,4,16,4,Service was normal,Neutral,Cash,Uttara
67,2025-02-13,Thursday,2,1707,Fried Rice,Main Course,7,280,1960,27,7,20,5,Very tasty and fresh,Positive,Nagad,Banani
68,2025-01-09,Thursday,1,1313,Pizza,Fast Food,5,550,2750,17,5,12,4,Very tasty and fresh,Positive,Nagad,Mirpur
69,2025-08-06,Wednesday,8,1313,Noodles,Main Course,6,260,1560,22,6,16,4,Service was normal,Neutral,Card,Dhanmondi
70,2025-04-09,Wednesday,4,1283,Coffee,Beverage,2,180,360,12,2,10,4,Highly recommended,Positive,Cash,Uttara
71,2025-06-01,Sunday,6,1129,Fried Rice,Main Course,6,280,1680,16,6,10,4,Amazing quality,Positive,Cash,Dhanmondi
72,2025-10-11,Saturday,10,1587,Pasta,Main Course,3,350,1050,23,3,20,4,Excellent food and fast service,Positive,Nagad,Banani
73,2025-08-14,Thursday,8,1116,Coffee,Beverage,3,180,540,9,3,6,2,Highly recommended,Positive,Nagad,Banani
74,2025-02-07,Friday,2,1971,Ice Cream,Dessert,1,120,120,10,1,9,4,Amazing quality,Positive,Cash,Uttara
75,2025-03-02,Sunday,3,1461,Noodles,Main Course,7,260,1820,19,7,12,5,Nothing special,Neutral,Bkash,Banani
76,2025-06-06,Friday,6,1640,Ice Cream,Dessert,1,120,120,9,1,8,3,Delivery was late,Negative,Bkash,Dhanmondi
77,2025-03-22,Saturday,3,1461,Fried Rice,Main Course,3,280,840,10,3,7,5,Highly recommended,Positive,Bkash,Dhanmondi
78,2025-04-29,Tuesday,4,1946,Pasta,Main Course,5,350,1750,24,5,19,4,Very tasty and fresh,Positive,Card,Banani
79,2025-02-28,Friday,2,1073,Noodles,Main Course,4,260,1040,13,4,9,2,Delivery was late,Negative,Card,Mirpur
80,2025-11-01,Saturday,11,1716,Ice Cream,Dessert,5,120,600,24,5,19,5,Loved the food,Positive,Bkash,Banani
81,2025-08-13,Wednesday,8,1256,Pizza,Fast Food,1,550,550,19,1,18,2,Acceptable,Neutral,Cash,Uttara
82,2025-12-12,Friday,12,1481,Ice Cream,Dessert,1,120,120,14,1,13,5,Very tasty and fresh,Positive,Bkash,Uttara
83,2025-10-27,Monday,10,1341,Juice,Beverage,8,150,1200,15,8,7,4,Highly recommended,Positive,Cash,Uttara
84,2025-06-18,Wednesday,6,1833,Juice,Beverage,8,150,1200,22,8,14,2,Nothing special,Neutral,Nagad,Dhanmondi
85,2025-06-11,Wednesday,6,1885,Pasta,Main Course,6,350,2100,14,6,8,2,Not worth the price,Negative,Nagad,Banani
86,2025-01-28,Tuesday,1,1208,Fried Rice,Main Course,6,280,1680,26,6,20,4,Average taste,Neutral,Card,Mirpur
87,2025-08-13,Wednesday,8,1818,Sandwich,Fast Food,2,220,440,7,2,5,3,Bad experience,Negative,Card,Mirpur
88,2025-10-10,Friday,10,1472,Burger,Fast Food,7,250,1750,14,7,7,2,Excellent food and fast service,Positive,Card,Banani
89,2025-05-30,Friday,5,1249,Noodles,Main Course,5,260,1300,23,5,18,5,Not worth the price,Negative,Card,Banani
90,2025-04-08,Tuesday,4,1348,Ice Cream,Dessert,3,120,360,10,3,7,4,Highly recommended,Positive,Cash,Mirpur
91,2025-06-02,Monday,6,1353,Ice Cream,Dessert,8,120,960,17,8,9,4,Highly recommended,Positive,Nagad,Banani
92,2025-06-14,Saturday,6,1044,Fried Rice,Main Course,4,280,1120,21,4,17,4,Highly recommended,Positive,Nagad,Banani
93,2025-07-17,Thursday,7,1339,Biryani,Main Course,8,320,2560,14,8,6,2,Amazing quality,Positive,Nagad,Dhanmondi
94,2025-09-27,Saturday,9,1076,Sandwich,Fast Food,1,220,220,10,1,9,5,Very tasty and fresh,Positive,Bkash,Mirpur
95,2025-11-16,Sunday,11,1389,Juice,Beverage,2,150,300,17,2,15,4,Bad experience,Negative,Nagad,Dhanmondi
96,2025-11-13,Thursday,11,1444,Pizza,Fast Food,4,550,2200,18,4,14,2,Food was cold,Negative,Cash,Banani
97,2025-03-27,Thursday,3,1300,Pasta,Main Course,1,350,350,7,1,6,4,Excellent food and fast service,Positive,Bkash,Banani
98,2025-03-16,Sunday,3,1624,Fried Rice,Main Course,7,280,1960,17,7,10,5,Excellent food and fast service,Positive,Card,Banani
99,2025-10-26,Sunday,10,1261,Biryani,Main Course,4,320,1280,23,4,19,2,Nothing special,Neutral,Nagad,Mirpur
100,2025-12-13,Saturday,12,1601,Noodles,Main Course,3,260,780,10,3,7,4,Loved the food,Positive,Nagad,Mirpur
101,2025-08-22,Friday,8,1242,Pasta,Main Course,4,350,1400,21,4,17,5,Food was cold,Negative,Bkash,Mirpur
102,2025-12-25,Thursday,12,1885,Pasta,Main Course,1,350,350,18,1,17,2,Amazing quality,Positive,Nagad,Mirpur
103,2025-04-28,Monday,4,1256,Ice Cream,Dessert,6,120,720,18,6,12,3,Acceptable,Neutral,Cash,Dhanmondi
104,2025-06-08,Sunday,6,1931,Sandwich,Fast Food,1,220,220,17,1,16,4,Average taste,Neutral,Bkash,Banani
105,2025-03-31,Monday,3,1850,Fried Rice,Main Course,3,280,840,19,3,16,3,Loved the food,Positive,Bkash,Banani
106,2025-06-01,Sunday,6,1772,Coffee,Beverage,2,180,360,21,2,19,3,Delivery was late,Negative,Nagad,Mirpur
107,2025-02-16,Sunday,2,1377,Juice,Beverage,1,150,150,14,1,13,4,Highly recommended,Positive,Nagad,Mirpur
108,2025-02-25,Tuesday,2,1335,Fried Rice,Main Course,8,280,2240,13,8,5,3,Acceptable,Neutral,Cash,Banani
109,2025-12-25,Thursday,12,1311,Pasta,Main Course,7,350,2450,15,7,8,5,Excellent food and fast service,Positive,Cash,Dhanmondi
110,2025-05-01,Thursday,5,1429,Noodles,Main Course,3,260,780,20,3,17,3,Amazing quality,Positive,Nagad,Dhanmondi
111,2025-09-08,Monday,9,1222,Ice Cream,Dessert,7,120,840,20,7,13,5,Loved the food,Positive,Nagad,Uttara
112,2025-07-05,Saturday,7,1194,Pizza,Fast Food,6,550,3300,22,6,16,2,Loved the food,Positive,Nagad,Dhanmondi
113,2025-12-06,Saturday,12,1128,Fried Rice,Main Course,1,280,280,7,1,6,3,It was okay,Neutral,Cash,Uttara
114,2025-10-28,Tuesday,10,1002,Fried Rice,Main Course,4,280,1120,19,4,15,4,Acceptable,Neutral,Card,Uttara
115,2025-10-04,Saturday,10,1134,Pasta,Main Course,3,350,1050,11,3,8,2,Average taste,Neutral,Bkash,Uttara
116,2025-10-29,Wednesday,10,1759,Coffee,Beverage,1,180,180,11,1,10,5,Very tasty and fresh,Positive,Cash,Dhanmondi
117,2025-09-01,Monday,9,1968,Sandwich,Fast Food,6,220,1320,14,6,8,2,Very tasty and fresh,Positive,Bkash,Banani
118,2025-11-26,Wednesday,11,1702,Burger,Fast Food,1,250,250,21,1,20,2,Not worth the price,Negative,Nagad,Banani
119,2025-02-07,Friday,2,1639,Pizza,Fast Food,6,550,3300,15,6,9,4,Loved the food,Positive,Nagad,Mirpur
120,2025-08-21,Thursday,8,1873,Noodles,Main Course,7,260,1820,15,7,8,3,Average taste,Neutral,Nagad,Banani
121,2025-04-27,Sunday,4,1320,Juice,Beverage,6,150,900,25,6,19,5,Excellent food and fast service,Positive,Bkash,Mirpur
122,2025-07-11,Friday,7,1095,Biryani,Main Course,8,320,2560,15,8,7,5,Excellent food and fast service,Positive,Cash,Mirpur
123,2025-03-08,Saturday,3,1362,Noodles,Main Course,1,260,260,16,1,15,5,Nothing special,Neutral,Cash,Mirpur
124,2025-11-04,Tuesday,11,1158,Pasta,Main Course,6,350,2100,14,6,8,5,Very tasty and fresh,Positive,Card,Dhanmondi
125,2025-06-29,Sunday,6,1231,Noodles,Main Course,6,260,1560,14,6,8,5,Acceptable,Neutral,Cash,Mirpur
126,2025-01-15,Wednesday,1,1006,Biryani,Main Course,5,320,1600,19,5,14,3,Too salty,Negative,Card,Banani
127,2025-02-05,Wednesday,2,1385,Biryani,Main Course,1,320,320,8,1,7,5,It was okay,Neutral,Nagad,Mirpur
128,2025-03-22,Saturday,3,1610,Coffee,Beverage,5,180,900,20,5,15,2,Acceptable,Neutral,Cash,Uttara
129,2025-03-22,Saturday,3,1497,Ice Cream,Dessert,1,120,120,8,1,7,5,Highly recommended,Positive,Nagad,Mirpur
130,2025-04-21,Monday,4,1694,Noodles,Main Course,2,260,520,18,2,16,5,Loved the food,Positive,Bkash,Dhanmondi
131,2025-04-23,Wednesday,4,1785,Juice,Beverage,1,150,150,6,1,5,3,Very tasty and fresh,Positive,Bkash,Mirpur
132,2025-06-17,Tuesday,6,1132,Pizza,Fast Food,1,550,550,21,1,20,5,It was okay,Neutral,Card,Mirpur
133,2025-02-06,Thursday,2,1882,Juice,Beverage,1,150,150,19,1,18,4,Excellent food and fast service,Positive,Nagad,Banani
134,2025-12-30,Tuesday,12,1175,Juice,Beverage,5,150,750,13,5,8,5,Loved the food,Positive,Bkash,Dhanmondi
135,2025-08-12,Tuesday,8,1080,Pizza,Fast Food,4,550,2200,22,4,18,5,Amazing quality,Positive,Bkash,Mirpur
136,2025-04-24,Thursday,4,1543,Coffee,Beverage,3,180,540,10,3,7,3,Excellent food and fast service,Positive,Bkash,Mirpur
137,2025-11-27,Thursday,11,1177,Biryani,Main Course,4,320,1280,12,4,8,3,Very tasty and fresh,Positive,Cash,Uttara
138,2025-11-18,Tuesday,11,1658,Sandwich,Fast Food,8,220,1760,27,8,19,4,Acceptable,Neutral,Bkash,Uttara
139,2025-08-14,Thursday,8,1605,Pizza,Fast Food,8,550,4400,27,8,19,2,Service was normal,Neutral,Bkash,Dhanmondi
140,2025-06-08,Sunday,6,1078,Sandwich,Fast Food,8,220,1760,14,8,6,2,Loved the food,Positive,Nagad,Banani
141,2025-10-25,Saturday,10,1667,Noodles,Main Course,1,260,260,20,1,19,3,Bad experience,Negative,Bkash,Banani
142,2025-09-14,Sunday,9,1731,Biryani,Main Course,1,320,320,20,1,19,2,Loved the food,Positive,Card,Dhanmondi
143,2025-05-07,Wednesday,5,1396,Sandwich,Fast Food,8,220,1760,18,8,10,5,Loved the food,Positive,Bkash,Dhanmondi
144,2025-11-20,Thursday,11,1290,Coffee,Beverage,2,180,360,17,2,15,4,Highly recommended,Positive,Card,Mirpur
145,2025-02-11,Tuesday,2,1132,Ice Cream,Dessert,3,120,360,19,3,16,2,Highly recommended,Positive,Bkash,Banani
146,2025-11-26,Wednesday,11,1520,Coffee,Beverage,3,180,540,10,3,7,4,Nothing special,Neutral,Cash,Mirpur
147,2025-06-08,Sunday,6,1196,Biryani,Main Course,4,320,1280,19,4,15,3,Not worth the price,Negative,Card,Uttara
148,2025-02-09,Sunday,2,1134,Pasta,Main Course,2,350,700,8,2,6,5,Acceptable,Neutral,Card,Uttara
149,2025-04-03,Thursday,4,1692,Ice Cream,Dessert,3,120,360,22,3,19,3,Loved the food,Positive,Nagad,Mirpur
150,2025-08-18,Monday,8,1925,Fried Rice,Main Course,4,280,1120,18,4,14,3,Not worth the price,Negative,Bkash,Banani
151,2025-08-25,Monday,8,1820,Pasta,Main Course,7,350,2450,25,7,18,3,Delivery was late,Negative,Bkash,Dhanmondi
152,2025-11-25,Tuesday,11,1871,Sandwich,Fast Food,6,220,1320,14,6,8,2,Acceptable,Neutral,Bkash,Dhanmondi
153,2025-03-24,Monday,3,1969,Pasta,Main Course,8,350,2800,17,8,9,3,Food was cold,Negative,Nagad,Mirpur
154,2025-01-14,Tuesday,1,1395,Juice,Beverage,1,150,150,18,1,17,2,Very tasty and fresh,Positive,Bkash,Uttara
155,2025-01-15,Wednesday,1,1039,Coffee,Beverage,2,180,360,17,2,15,4,It was okay,Neutral,Nagad,Uttara
156,2025-12-28,Sunday,12,1262,Sandwich,Fast Food,8,220,1760,13,8,5,3,Food was cold,Negative,Card,Banani
157,2025-02-26,Wednesday,2,1429,Pasta,Main Course,4,350,1400,18,4,14,5,Very tasty and fresh,Positive,Cash,Dhanmondi
158,2025-09-13,Saturday,9,1439,Ice Cream,Dessert,1,120,120,13,1,12,2,Service was normal,Neutral,Bkash,Uttara
159,2025-10-20,Monday,10,1069,Juice,Beverage,3,150,450,10,3,7,2,Loved the food,Positive,Nagad,Banani
160,2025-01-23,Thursday,1,1807,Juice,Beverage,6,150,900,19,6,13,2,Service was normal,Neutral,Bkash,Uttara
161,2025-12-03,Wednesday,12,1346,Pizza,Fast Food,6,550,3300,15,6,9,3,Amazing quality,Positive,Nagad,Banani
162,2025-11-20,Thursday,11,1037,Biryani,Main Course,3,320,960,10,3,7,4,Nothing special,Neutral,Card,Dhanmondi
163,2025-04-13,Sunday,4,1484,Burger,Fast Food,6,250,1500,20,6,14,4,Amazing quality,Positive,Cash,Uttara
164,2025-05-27,Tuesday,5,1447,Coffee,Beverage,1,180,180,16,1,15,5,Loved the food,Positive,Nagad,Banani
165,2025-06-23,Monday,6,1273,Biryani,Main Course,8,320,2560,28,8,20,2,Amazing quality,Positive,Nagad,Dhanmondi
166,2025-08-09,Saturday,8,1335,Ice Cream,Dessert,3,120,360,17,3,14,4,Excellent food and fast service,Positive,Bkash,Banani
167,2025-11-05,Wednesday,11,1744,Juice,Beverage,3,150,450,22,3,19,4,Excellent food and fast service,Positive,Nagad,Mirpur
168,2025-11-24,Monday,11,1975,Burger,Fast Food,2,250,500,19,2,17,2,Very tasty and fresh,Positive,Card,Banani
169,2025-01-18,Saturday,1,1370,Biryani,Main Course,2,320,640,14,2,12,5,Service was normal,Neutral,Cash,Uttara
170,2025-12-14,Sunday,12,1587,Sandwich,Fast Food,6,220,1320,22,6,16,3,Excellent food and fast service,Positive,Bkash,Banani
171,2025-06-10,Tuesday,6,1511,Pasta,Main Course,4,350,1400,12,4,8,5,Very tasty and fresh,Positive,Cash,Mirpur
172,2025-05-14,Wednesday,5,1204,Sandwich,Fast Food,4,220,880,18,4,14,2,Nothing special,Neutral,Card,Dhanmondi
173,2025-08-20,Wednesday,8,1683,Biryani,Main Course,8,320,2560,15,8,7,4,Too salty,Negative,Cash,Mirpur
174,2025-06-03,Tuesday,6,1205,Biryani,Main Course,3,320,960,19,3,16,3,Excellent food and fast service,Positive,Card,Banani
175,2025-01-14,Tuesday,1,1132,Coffee,Beverage,6,180,1080,25,6,19,2,Bad experience,Negative,Cash,Mirpur
176,2025-07-23,Wednesday,7,1128,Sandwich,Fast Food,7,220,1540,25,7,18,4,Food was cold,Negative,Cash,Banani
177,2025-08-27,Wednesday,8,1655,Noodles,Main Course,6,260,1560,15,6,9,3,Bad experience,Negative,Card,Banani
178,2025-09-15,Monday,9,1330,Burger,Fast Food,2,250,500,11,2,9,3,Very tasty and fresh,Positive,Bkash,Mirpur
179,2025-02-10,Monday,2,1629,Pasta,Main Course,4,350,1400,17,4,13,2,Loved the food,Positive,Card,Uttara
180,2025-03-29,Saturday,3,1083,Ice Cream,Dessert,6,120,720,12,6,6,2,Food was cold,Negative,Bkash,Uttara
181,2025-10-20,Monday,10,1296,Juice,Beverage,1,150,150,21,1,20,4,Bad experience,Negative,Nagad,Uttara
182,2025-12-17,Wednesday,12,1161,Juice,Beverage,5,150,750,24,5,19,5,Excellent food and fast service,Positive,Nagad,Banani
183,2025-08-26,Tuesday,8,1751,Fried Rice,Main Course,6,280,1680,15,6,9,4,Loved the food,Positive,Nagad,Uttara
184,2025-07-09,Wednesday,7,1273,Noodles,Main Course,2,260,520,17,2,15,5,Excellent food and fast service,Positive,Card,Uttara
185,2025-02-19,Wednesday,2,1254,Burger,Fast Food,5,250,1250,22,5,17,3,Not worth the price,Negative,Bkash,Mirpur
186,2025-04-08,Tuesday,4,1509,Biryani,Main Course,8,320,2560,27,8,19,2,Loved the food,Positive,Cash,Banani
187,2025-09-16,Tuesday,9,1051,Sandwich,Fast Food,4,220,880,15,4,11,4,Excellent food and fast service,Positive,Nagad,Banani
188,2025-05-27,Tuesday,5,1744,Noodles,Main Course,1,260,260,9,1,8,4,Loved the food,Positive,Nagad,Mirpur
189,2025-01-24,Friday,1,1075,Juice,Beverage,1,150,150,12,1,11,5,Loved the food,Positive,Nagad,Mirpur
190,2025-11-16,Sunday,11,1382,Ice Cream,Dessert,2,120,240,11,2,9,4,Not worth the price,Negative,Bkash,Uttara
191,2025-04-12,Saturday,4,1730,Ice Cream,Dessert,7,120,840,13,7,6,4,Very tasty and fresh,Positive,Nagad,Banani
192,2025-03-18,Tuesday,3,1166,Ice Cream,Dessert,3,120,360,18,3,15,5,Too salty,Negative,Bkash,Mirpur
193,2025-09-17,Wednesday,9,1377,Noodles,Main Course,8,260,2080,22,8,14,4,Excellent food and fast service,Positive,Cash,Banani
194,2025-10-26,Sunday,10,1591,Pasta,Main Course,1,350,350,21,1,20,3,Amazing quality,Positive,Cash,Banani
195,2025-03-29,Saturday,3,1032,Noodles,Main Course,7,260,1820,16,7,9,2,Delivery was late,Negative,Card,Dhanmondi
196,2025-08-14,Thursday,8,1420,Coffee,Beverage,7,180,1260,16,7,9,5,Very tasty and fresh,Positive,Cash,Uttara
197,2025-09-23,Tuesday,9,1979,Fried Rice,Main Course,6,280,1680,26,6,20,3,Loved the food,Positive,Nagad,Mirpur
198,2025-10-07,Tuesday,10,1285,Coffee,Beverage,5,180,900,25,5,20,4,Very tasty and fresh,Positive,Card,Mirpur
199,2025-05-28,Wednesday,5,1956,Fried Rice,Main Course,8,280,2240,23,8,15,4,Amazing quality,Positive,Bkash,Dhanmondi
200,2025-10-21,Tuesday,10,1297,Noodles,Main Course,7,260,1820,24,7,17,2,Delivery was late,Negative,Bkash,Dhanmondi
201,2025-06-27,Friday,6,1277,Sandwich,Fast Food,5,220,1100,25,5,20,4,Amazing quality,Positive,Card,Dhanmondi
202,2025-11-12,Wednesday,11,1231,Ice Cream,Dessert,4,120,480,16,4,12,3,Amazing quality,Positive,Cash,Dhanmondi
203,2025-07-31,Thursday,7,1005,Coffee,Beverage,8,180,1440,16,8,8,3,It was okay,Neutral,Nagad,Banani
204,2025-09-02,Tuesday,9,1929,Fried Rice,Main Course,5,280,1400,20,5,15,2,Excellent food and fast service,Positive,Card,Dhanmondi
205,2025-03-31,Monday,3,1806,Juice,Beverage,3,150,450,9,3,6,5,Not worth the price,Negative,Card,Mirpur
206,2025-01-20,Monday,1,1291,Burger,Fast Food,5,250,1250,13,5,8,5,Too salty,Negative,Nagad,Uttara
207,2025-09-16,Tuesday,9,1166,Sandwich,Fast Food,5,220,1100,16,5,11,5,Too salty,Negative,Bkash,Uttara
208,2025-01-08,Wednesday,1,1846,Coffee,Beverage,5,180,900,16,5,11,5,Highly recommended,Positive,Bkash,Dhanmondi
209,2025-07-25,Friday,7,1006,Pizza,Fast Food,3,550,1650,12,3,9,4,Very tasty and fresh,Positive,Nagad,Uttara
210,2025-08-17,Sunday,8,1011,Pasta,Main Course,6,350,2100,20,6,14,4,Amazing quality,Positive,Bkash,Uttara
